model,roc_auc,accuracy,precision,recall,f1
0,0.6304403728704596,0.6415525114155252,0.5722222222222222,0.5628415300546448,0.5674931129476584,DecisionTreeClassifier
1,0.6277081324333011,0.639269406392694,0.5698324022346368,0.5573770491803278,0.5635359116022098,DecisionTreeClassifier
2,0.649630343940855,0.6621004566210046,0.6,0.5737704918032787,0.5865921787709497,DecisionTreeClassifier
3,0.6601414336226293,0.6689497716894978,0.6032608695652174,0.6065573770491803,0.6049046321525886,DecisionTreeClassifier
4,0.6316297010607521,0.6438356164383562,0.576271186440678,0.5573770491803278,0.5666666666666667,DecisionTreeClassifier
5,0.6550305368048859,0.6621004566210046,0.5925925925925926,0.6120218579234973,0.6021505376344086,DecisionTreeClassifier
6,0.6452266152362585,0.6506849315068494,0.5773195876288659,0.6120218579234973,0.5941644562334217,DecisionTreeClassifier
7,0.6539054966248794,0.6643835616438356,0.6,0.5901639344262295,0.5950413223140496,DecisionTreeClassifier
8,0.6480231436837028,0.6575342465753424,0.5901639344262295,0.5901639344262295,0.5901639344262295,DecisionTreeClassifier
9,0.6683381549341049,0.6757990867579908,0.6096256684491979,0.6229508196721312,0.6162162162162163,DecisionTreeClassifier
10,0.6757634201221473,0.682648401826484,0.6170212765957447,0.6338797814207651,0.6253369272237197,DecisionTreeClassifier
11,0.6695274831243972,0.678082191780822,0.6141304347826086,0.6174863387978142,0.6158038147138964,DecisionTreeClassifier
12,0.6808100289296045,0.684931506849315,0.6153846153846154,0.6557377049180327,0.634920634920635,DecisionTreeClassifier
13,0.6769527483124397,0.684931506849315,0.6216216216216216,0.6284153005464481,0.6250000000000001,DecisionTreeClassifier
14,0.6749919639987143,0.682648401826484,0.6182795698924731,0.6284153005464481,0.6233062330623307,DecisionTreeClassifier
15,0.6729668916747026,0.6757990867579908,0.6030150753768844,0.6557377049180327,0.6282722513089005,DecisionTreeClassifier
16,0.6761170041787206,0.680365296803653,0.6102564102564103,0.6502732240437158,0.6296296296296295,DecisionTreeClassifier
17,0.6898424943747992,0.6963470319634704,0.6329787234042553,0.6502732240437158,0.6415094339622641,DecisionTreeClassifier
18,0.643330118932819,0.6529680365296804,0.5846994535519126,0.5846994535519126,0.5846994535519126,DecisionTreeClassifier
19,0.6437479909996785,0.6552511415525114,0.5898876404494382,0.5737704918032787,0.5817174515235457,DecisionTreeClassifier
20,0.6246223079395693,0.639269406392694,0.5730994152046783,0.5355191256830601,0.5536723163841808,DecisionTreeClassifier
21,0.6593699774991963,0.6689497716894978,0.6043956043956044,0.6010928961748634,0.6027397260273973,DecisionTreeClassifier
22,0.6480231436837028,0.6575342465753424,0.5901639344262295,0.5901639344262295,0.5901639344262295,DecisionTreeClassifier
23,0.6226615236258438,0.636986301369863,0.5697674418604651,0.5355191256830601,0.5521126760563381,DecisionTreeClassifier
24,0.6351333976213436,0.6461187214611872,0.5777777777777777,0.5683060109289617,0.5730027548209365,DecisionTreeClassifier
25,0.657409193185471,0.6666666666666666,0.6010928961748634,0.6010928961748634,0.6010928961748634,DecisionTreeClassifier
26,0.6390549662487945,0.6506849315068494,0.5842696629213483,0.5683060109289617,0.5761772853185596,DecisionTreeClassifier
27,0.6986499517839923,0.7191780821917808,0.7,0.5737704918032787,0.6306306306306306,RandomForestClassifier
28,0.6986499517839923,0.7191780821917808,0.7,0.5737704918032787,0.6306306306306306,RandomForestClassifier
29,0.7006107360977176,0.7214611872146118,0.7046979865771812,0.5737704918032787,0.6325301204819277,RandomForestClassifier
30,0.7056573449051751,0.723744292237443,0.6987179487179487,0.5956284153005464,0.6430678466076696,RandomForestClassifier
31,0.7029251044680167,0.7214611872146118,0.6967741935483871,0.5901639344262295,0.6390532544378699,RandomForestClassifier
32,0.6720347155255545,0.6917808219178082,0.6558441558441559,0.5519125683060109,0.599406528189911,RandomForestClassifier
33,0.7056573449051751,0.723744292237443,0.6987179487179487,0.5956284153005464,0.6430678466076696,RandomForestClassifier
34,0.6899710703953712,0.7054794520547946,0.6646341463414634,0.5956284153005464,0.628242074927954,RandomForestClassifier
35,0.7006107360977176,0.7214611872146118,0.7046979865771812,0.5737704918032787,0.6325301204819277,RandomForestClassifier
36,0.7017357762777242,0.7191780821917808,0.689873417721519,0.5956284153005464,0.6392961876832844,RandomForestClassifier
37,0.6853423336547735,0.7054794520547946,0.6776315789473685,0.5628415300546448,0.6149253731343284,RandomForestClassifier
38,0.6963355834136933,0.7191780821917808,0.7083333333333334,0.5573770491803278,0.6238532110091743,RandomForestClassifier
39,0.6939569270331083,0.7146118721461188,0.6933333333333334,0.5683060109289617,0.6246246246246245,RandomForestClassifier
40,0.6786885245901639,0.6986301369863014,0.6666666666666666,0.5573770491803278,0.6071428571428571,RandomForestClassifier
41,0.6830279652844745,0.7054794520547946,0.684931506849315,0.546448087431694,0.60790273556231,RandomForestClassifier
42,0.6919961427193828,0.7123287671232876,0.6887417218543046,0.5683060109289617,0.622754491017964,RandomForestClassifier
43,0.6704918032786885,0.6917808219178082,0.66,0.5409836065573771,0.5945945945945946,RandomForestClassifier
44,0.6826100932176149,0.7031963470319634,0.6754966887417219,0.5573770491803278,0.6107784431137724,RandomForestClassifier
45,0.6903889424622308,0.7077625570776256,0.6729559748427673,0.5846994535519126,0.6257309941520467,RandomForestClassifier
46,0.6938926390228222,0.7100456621004566,0.6728395061728395,0.5956284153005464,0.6318840579710145,RandomForestClassifier
47,0.7088074574091932,0.728310502283105,0.7105263157894737,0.5901639344262295,0.6447761194029851,RandomForestClassifier
48,0.6954998392799743,0.7146118721461188,0.6883116883116883,0.5792349726775956,0.6290801186943619,RandomForestClassifier
49,0.6923497267759563,0.7100456621004566,0.6772151898734177,0.5846994535519126,0.627565982404692,RandomForestClassifier
50,0.6876567020250725,0.7054794520547946,0.6708860759493671,0.5792349726775956,0.6217008797653959,RandomForestClassifier
51,0.6908068145290903,0.7100456621004566,0.6818181818181818,0.5737704918032787,0.6231454005934718,RandomForestClassifier
52,0.6959177113468338,0.7168949771689498,0.697986577181208,0.5683060109289617,0.6265060240963854,RandomForestClassifier
53,0.6978142076502732,0.7146118721461188,0.68125,0.5956284153005464,0.6355685131195337,RandomForestClassifier
54,0.7056573449051751,0.723744292237443,0.6987179487179487,0.5956284153005464,0.6430678466076696,RandomForestClassifier
55,0.7009643201542912,0.7191780821917808,0.6923076923076923,0.5901639344262295,0.6371681415929203,RandomForestClassifier
56,0.7053037608486017,0.726027397260274,0.7114093959731543,0.5792349726775956,0.6385542168674699,RandomForestClassifier
57,0.6974606235936998,0.7168949771689498,0.6928104575163399,0.5792349726775956,0.6309523809523809,RandomForestClassifier
58,0.70803600128576,0.728310502283105,0.7133333333333334,0.5846994535519126,0.6426426426426427,RandomForestClassifier
59,0.7029893924783027,0.726027397260274,0.7202797202797203,0.5628415300546448,0.6319018404907975,RandomForestClassifier
60,0.7006107360977176,0.7214611872146118,0.7046979865771812,0.5737704918032787,0.6325301204819277,RandomForestClassifier
61,0.6936033429765349,0.7168949771689498,0.7062937062937062,0.5519125683060109,0.6196319018404907,RandomForestClassifier
62,0.7068466730954676,0.726027397260274,0.7058823529411765,0.5901639344262295,0.6428571428571429,RandomForestClassifier
63,0.6791063966570235,0.7009132420091324,0.6756756756756757,0.546448087431694,0.6042296072507554,RandomForestClassifier
64,0.6884924461587913,0.7100456621004566,0.6891891891891891,0.5573770491803278,0.6163141993957703,RandomForestClassifier
65,0.6884924461587913,0.7100456621004566,0.6891891891891891,0.5573770491803278,0.6163141993957703,RandomForestClassifier
66,0.6908068145290903,0.7100456621004566,0.6818181818181818,0.5737704918032787,0.6231454005934718,RandomForestClassifier
67,0.6857602057216329,0.7077625570776256,0.6870748299319728,0.5519125683060109,0.6121212121212121,RandomForestClassifier
68,0.6889103182256509,0.7123287671232876,0.6993006993006993,0.546448087431694,0.6134969325153374,RandomForestClassifier
